seed,policy,mae,rmse,overshoot
42,Expert,1.779147895556047,2.6696970114715683,14.854198977052803
42,DDPG-1,0.2275243472991888,0.9587522395628004,14.735147876625804
42,DDPG-2,0.6300819644453195,1.2786167501910002,14.70717702425145
42,TD3-1,0.230008521319571,0.960438809815842,14.735043507310522
42,TD3-2,1.7539342329608874,2.639669313156666,14.850944933920672
36,Expert,1.9684107502110428,2.863492976093375,17.02930130877435
36,DDPG-1,0.262809892311749,0.9328984417046572,15.653271387255373
36,DDPG-2,0.707480396908188,1.3533594657078774,16.57221034499848
36,TD3-1,0.2659074523845339,0.93335379004401,15.626917536527545
36,TD3-2,1.9414824050559023,2.8316505350438206,17.04396567439659
27,Expert,2.1459768453669787,3.3672482616256825,15.685265170369917
27,DDPG-1,0.3301794243142527,1.2794726719154674,14.766075742791514
27,DDPG-2,0.795963897057377,1.6920312279321827,14.876854030752384
27,TD3-1,0.3321193846693736,1.2793042367652587,14.757655539036918
27,TD3-2,2.118529057007793,3.3332573506633447,15.66508610951523
21,Expert,2.075358521363078,2.9472114462993075,20.648481920078524
21,DDPG-1,0.2709920262712356,0.9327487940712336,15.080017331638402
21,DDPG-2,0.7053925462508716,1.2757180479015366,15.81793452074166
21,TD3-1,0.2750062458082704,0.9353246826243572,15.088513999420512
21,TD3-2,2.045924310240675,2.9105505810672296,20.565261071597803
14,Expert,1.38632076984902,2.149003470027028,15.477042178960572
14,DDPG-1,0.2009895996946689,0.8165902397900031,14.792815412195123
14,DDPG-2,0.4879675385166629,1.0612219708556014,14.554356018646516
14,TD3-1,0.2027666076804223,0.8176648746576956,14.79983005227649
14,TD3-2,1.3675848329906972,2.1261763010141865,15.440311107473178
23,Expert,1.869064861593404,2.7459784510588774,18.02573619697196
23,DDPG-1,0.2482188655282297,0.9260420895009068,14.910162184350469
23,DDPG-2,0.6806383957045404,1.3023655662245297,15.416570849482396
23,TD3-1,0.2519263308075359,0.9279880276767428,14.914696845032736
23,TD3-2,1.841908494785036,2.7134770686336185,17.97628760989228
39,Expert,2.4716012432498733,3.340682445515207,17.15207086830371
39,DDPG-1,0.3307359190434055,1.0349594444203989,14.666930559330112
39,DDPG-2,0.8797682627807506,1.5200751547856688,14.91936096794052
39,TD3-1,0.3345429469704184,1.0370816095366695,14.665583489368842
39,TD3-2,2.440806668018871,3.3043617616957253,17.09001216355402
94,Expert,2.240536608688005,3.162350268995701,17.43323352312406
94,DDPG-1,0.2993882082333192,1.0965698601989378,16.28887513023902
94,DDPG-2,0.7962917788336327,1.5270000536517945,16.390818729026392
94,TD3-1,0.302231704661255,1.0972329754564638,16.280560934807028
94,TD3-2,2.209878603934433,3.127097109165768,17.398906861832344
15,Expert,2.226165754801533,3.090612468589557,15.131719929083031
15,DDPG-1,0.2749340357731882,0.8363689574104491,15.084556058623107
15,DDPG-2,0.7749688716450578,1.2873353956548097,14.790174101540616
15,TD3-1,0.2786456595125915,0.8378512979937519,15.10068522073594
15,TD3-2,2.1946004788379425,3.05271055185562,15.124408496899449
88,Expert,2.347773080594006,3.244630154562781,18.592408742391584
88,DDPG-1,0.3008640722676546,0.8677553331911135,14.918838822680796
88,DDPG-2,0.8500362027397441,1.365483413722077,16.190744336724038
88,TD3-1,0.3053190925215027,0.8697308410995236,14.919950539935684
88,TD3-2,2.319829383583524,3.2076953251411,18.486076676347423
26,Expert,2.280183917512923,3.115576478184001,19.48354373513503
26,DDPG-1,0.3012046815013959,0.957350063511191,14.844521214176224
26,DDPG-2,0.8084493983949957,1.373507464720867,15.569297694172503
26,TD3-1,0.3047843281030157,0.9588879899105228,14.850193955088542
26,TD3-2,2.250577241980904,3.080633011738569,19.429593159171347
83,Expert,1.7601991471750758,2.605894333739597,14.71802395103886
83,DDPG-1,0.261987904399468,0.8259708512661325,14.637333645202432
83,DDPG-2,0.6746937965797766,1.264973863189096,14.99383442558242
83,TD3-1,0.2656804510524274,0.8268246995919722,14.635495923885586
83,TD3-2,1.7392048831588518,2.5798063927347195,14.723806873442117
